"statistic","country","year","day","date","deaths","quality"
"Statistik der Sterbefälle","Germany",2000,"01.01.",2000-01-01,2626,"e"
"Statistik der Sterbefälle","Germany",2000,"02.01.",2000-01-02,2618,"e"
"Statistik der Sterbefälle","Germany",2000,"03.01.",2000-01-03,2603,"e"
"Statistik der Sterbefälle","Germany",2000,"04.01.",2000-01-04,2612,"e"
"Statistik der Sterbefälle","Germany",2000,"05.01.",2000-01-05,2631,"e"
"Statistik der Sterbefälle","Germany",2000,"06.01.",2000-01-06,2721,"e"
"Statistik der Sterbefälle","Germany",2000,"07.01.",2000-01-07,2637,"e"
"Statistik der Sterbefälle","Germany",2000,"08.01.",2000-01-08,2608,"e"
"Statistik der Sterbefälle","Germany",2000,"09.01.",2000-01-09,2454,"e"
"Statistik der Sterbefälle","Germany",2000,"10.01.",2000-01-10,2615,"e"
"Statistik der Sterbefälle","Germany",2000,"11.01.",2000-01-11,2660,"e"
"Statistik der Sterbefälle","Germany",2000,"12.01.",2000-01-12,2631,"e"
"Statistik der Sterbefälle","Germany",2000,"13.01.",2000-01-13,2626,"e"
"Statistik der Sterbefälle","Germany",2000,"14.01.",2000-01-14,2695,"e"
"Statistik der Sterbefälle","Germany",2000,"15.01.",2000-01-15,2640,"e"
"Statistik der Sterbefälle","Germany",2000,"16.01.",2000-01-16,2593,"e"
"Statistik der Sterbefälle","Germany",2000,"17.01.",2000-01-17,2814,"e"
"Statistik der Sterbefälle","Germany",2000,"18.01.",2000-01-18,2728,"e"
"Statistik der Sterbefälle","Germany",2000,"19.01.",2000-01-19,2698,"e"
"Statistik der Sterbefälle","Germany",2000,"20.01.",2000-01-20,2722,"e"
"Statistik der Sterbefälle","Germany",2000,"21.01.",2000-01-21,2780,"e"
"Statistik der Sterbefälle","Germany",2000,"22.01.",2000-01-22,2685,"e"
"Statistik der Sterbefälle","Germany",2000,"23.01.",2000-01-23,2709,"e"
"Statistik der Sterbefälle","Germany",2000,"24.01.",2000-01-24,2749,"e"
"Statistik der Sterbefälle","Germany",2000,"25.01.",2000-01-25,2681,"e"
"Statistik der Sterbefälle","Germany",2000,"26.01.",2000-01-26,2719,"e"
"Statistik der Sterbefälle","Germany",2000,"27.01.",2000-01-27,2927,"e"
"Statistik der Sterbefälle","Germany",2000,"28.01.",2000-01-28,2867,"e"
"Statistik der Sterbefälle","Germany",2000,"29.01.",2000-01-29,2881,"e"
"Statistik der Sterbefälle","Germany",2000,"30.01.",2000-01-30,2891,"e"
"Statistik der Sterbefälle","Germany",2000,"31.01.",2000-01-31,3020,"e"
"Statistik der Sterbefälle","Germany",2000,"01.02.",2000-02-01,2982,"e"
"Statistik der Sterbefälle","Germany",2000,"02.02.",2000-02-02,3004,"e"
"Statistik der Sterbefälle","Germany",2000,"03.02.",2000-02-03,2912,"e"
"Statistik der Sterbefälle","Germany",2000,"04.02.",2000-02-04,2895,"e"
"Statistik der Sterbefälle","Germany",2000,"05.02.",2000-02-05,2852,"e"
"Statistik der Sterbefälle","Germany",2000,"06.02.",2000-02-06,2725,"e"
"Statistik der Sterbefälle","Germany",2000,"07.02.",2000-02-07,2886,"e"
"Statistik der Sterbefälle","Germany",2000,"08.02.",2000-02-08,2841,"e"
"Statistik der Sterbefälle","Germany",2000,"09.02.",2000-02-09,2778,"e"
"Statistik der Sterbefälle","Germany",2000,"10.02.",2000-02-10,2706,"e"
"Statistik der Sterbefälle","Germany",2000,"11.02.",2000-02-11,2699,"e"
"Statistik der Sterbefälle","Germany",2000,"12.02.",2000-02-12,2639,"e"
"Statistik der Sterbefälle","Germany",2000,"13.02.",2000-02-13,2680,"e"
"Statistik der Sterbefälle","Germany",2000,"14.02.",2000-02-14,2610,"e"
"Statistik der Sterbefälle","Germany",2000,"15.02.",2000-02-15,2688,"e"
"Statistik der Sterbefälle","Germany",2000,"16.02.",2000-02-16,2679,"e"
"Statistik der Sterbefälle","Germany",2000,"17.02.",2000-02-17,2604,"e"
"Statistik der Sterbefälle","Germany",2000,"18.02.",2000-02-18,2525,"e"
"Statistik der Sterbefälle","Germany",2000,"19.02.",2000-02-19,2675,"e"
"Statistik der Sterbefälle","Germany",2000,"20.02.",2000-02-20,2365,"e"
"Statistik der Sterbefälle","Germany",2000,"21.02.",2000-02-21,2559,"e"
"Statistik der Sterbefälle","Germany",2000,"22.02.",2000-02-22,2519,"e"
"Statistik der Sterbefälle","Germany",2000,"23.02.",2000-02-23,2471,"e"
"Statistik der Sterbefälle","Germany",2000,"24.02.",2000-02-24,2522,"e"
"Statistik der Sterbefälle","Germany",2000,"25.02.",2000-02-25,2470,"e"
"Statistik der Sterbefälle","Germany",2000,"26.02.",2000-02-26,2450,"e"
"Statistik der Sterbefälle","Germany",2000,"27.02.",2000-02-27,2441,"e"
"Statistik der Sterbefälle","Germany",2000,"28.02.",2000-02-28,2639,"e"
"Statistik der Sterbefälle","Germany",2000,"29.02.",2000-02-29,2491,"e"
"Statistik der Sterbefälle","Germany",2000,"01.03.",2000-03-01,2534,"e"
"Statistik der Sterbefälle","Germany",2000,"02.03.",2000-03-02,2357,"e"
"Statistik der Sterbefälle","Germany",2000,"03.03.",2000-03-03,2459,"e"
"Statistik der Sterbefälle","Germany",2000,"04.03.",2000-03-04,2467,"e"
"Statistik der Sterbefälle","Germany",2000,"05.03.",2000-03-05,2274,"e"
"Statistik der Sterbefälle","Germany",2000,"06.03.",2000-03-06,2365,"e"
"Statistik der Sterbefälle","Germany",2000,"07.03.",2000-03-07,2486,"e"
"Statistik der Sterbefälle","Germany",2000,"08.03.",2000-03-08,2494,"e"
"Statistik der Sterbefälle","Germany",2000,"09.03.",2000-03-09,2558,"e"
"Statistik der Sterbefälle","Germany",2000,"10.03.",2000-03-10,2371,"e"
"Statistik der Sterbefälle","Germany",2000,"11.03.",2000-03-11,2376,"e"
"Statistik der Sterbefälle","Germany",2000,"12.03.",2000-03-12,2258,"e"
"Statistik der Sterbefälle","Germany",2000,"13.03.",2000-03-13,2413,"e"
"Statistik der Sterbefälle","Germany",2000,"14.03.",2000-03-14,2272,"e"
"Statistik der Sterbefälle","Germany",2000,"15.03.",2000-03-15,2324,"e"
"Statistik der Sterbefälle","Germany",2000,"16.03.",2000-03-16,2309,"e"
"Statistik der Sterbefälle","Germany",2000,"17.03.",2000-03-17,2376,"e"
"Statistik der Sterbefälle","Germany",2000,"18.03.",2000-03-18,2328,"e"
"Statistik der Sterbefälle","Germany",2000,"19.03.",2000-03-19,2205,"e"
"Statistik der Sterbefälle","Germany",2000,"20.03.",2000-03-20,2348,"e"
"Statistik der Sterbefälle","Germany",2000,"21.03.",2000-03-21,2363,"e"
"Statistik der Sterbefälle","Germany",2000,"22.03.",2000-03-22,2428,"e"
"Statistik der Sterbefälle","Germany",2000,"23.03.",2000-03-23,2339,"e"
"Statistik der Sterbefälle","Germany",2000,"24.03.",2000-03-24,2329,"e"
"Statistik der Sterbefälle","Germany",2000,"25.03.",2000-03-25,2380,"e"
"Statistik der Sterbefälle","Germany",2000,"26.03.",2000-03-26,2153,"e"
"Statistik der Sterbefälle","Germany",2000,"27.03.",2000-03-27,2426,"e"
"Statistik der Sterbefälle","Germany",2000,"28.03.",2000-03-28,2231,"e"
"Statistik der Sterbefälle","Germany",2000,"29.03.",2000-03-29,2341,"e"
"Statistik der Sterbefälle","Germany",2000,"30.03.",2000-03-30,2301,"e"
"Statistik der Sterbefälle","Germany",2000,"31.03.",2000-03-31,2266,"e"
"Statistik der Sterbefälle","Germany",2000,"01.04.",2000-04-01,2349,"e"
"Statistik der Sterbefälle","Germany",2000,"02.04.",2000-04-02,2324,"e"
"Statistik der Sterbefälle","Germany",2000,"03.04.",2000-04-03,2396,"e"
"Statistik der Sterbefälle","Germany",2000,"04.04.",2000-04-04,2335,"e"
"Statistik der Sterbefälle","Germany",2000,"05.04.",2000-04-05,2280,"e"
"Statistik der Sterbefälle","Germany",2000,"06.04.",2000-04-06,2170,"e"
"Statistik der Sterbefälle","Germany",2000,"07.04.",2000-04-07,2287,"e"
"Statistik der Sterbefälle","Germany",2000,"08.04.",2000-04-08,2165,"e"
"Statistik der Sterbefälle","Germany",2000,"09.04.",2000-04-09,2282,"e"
"Statistik der Sterbefälle","Germany",2000,"10.04.",2000-04-10,2269,"e"
"Statistik der Sterbefälle","Germany",2000,"11.04.",2000-04-11,2289,"e"
"Statistik der Sterbefälle","Germany",2000,"12.04.",2000-04-12,2353,"e"
"Statistik der Sterbefälle","Germany",2000,"13.04.",2000-04-13,2306,"e"
"Statistik der Sterbefälle","Germany",2000,"14.04.",2000-04-14,2319,"e"
"Statistik der Sterbefälle","Germany",2000,"15.04.",2000-04-15,2276,"e"
"Statistik der Sterbefälle","Germany",2000,"16.04.",2000-04-16,2185,"e"
"Statistik der Sterbefälle","Germany",2000,"17.04.",2000-04-17,2359,"e"
"Statistik der Sterbefälle","Germany",2000,"18.04.",2000-04-18,2263,"e"
"Statistik der Sterbefälle","Germany",2000,"19.04.",2000-04-19,2249,"e"
"Statistik der Sterbefälle","Germany",2000,"20.04.",2000-04-20,2316,"e"
"Statistik der Sterbefälle","Germany",2000,"21.04.",2000-04-21,2269,"e"
"Statistik der Sterbefälle","Germany",2000,"22.04.",2000-04-22,2409,"e"
"Statistik der Sterbefälle","Germany",2000,"23.04.",2000-04-23,2217,"e"
"Statistik der Sterbefälle","Germany",2000,"24.04.",2000-04-24,2139,"e"
"Statistik der Sterbefälle","Germany",2000,"25.04.",2000-04-25,2218,"e"
"Statistik der Sterbefälle","Germany",2000,"26.04.",2000-04-26,2225,"e"
"Statistik der Sterbefälle","Germany",2000,"27.04.",2000-04-27,2283,"e"
"Statistik der Sterbefälle","Germany",2000,"28.04.",2000-04-28,2332,"e"
"Statistik der Sterbefälle","Germany",2000,"29.04.",2000-04-29,2258,"e"
"Statistik der Sterbefälle","Germany",2000,"30.04.",2000-04-30,2163,"e"
"Statistik der Sterbefälle","Germany",2000,"01.05.",2000-05-01,2139,"e"
"Statistik der Sterbefälle","Germany",2000,"02.05.",2000-05-02,2264,"e"
"Statistik der Sterbefälle","Germany",2000,"03.05.",2000-05-03,2129,"e"
"Statistik der Sterbefälle","Germany",2000,"04.05.",2000-05-04,2099,"e"
"Statistik der Sterbefälle","Germany",2000,"05.05.",2000-05-05,2200,"e"
"Statistik der Sterbefälle","Germany",2000,"06.05.",2000-05-06,2189,"e"
"Statistik der Sterbefälle","Germany",2000,"07.05.",2000-05-07,2122,"e"
"Statistik der Sterbefälle","Germany",2000,"08.05.",2000-05-08,2245,"e"
"Statistik der Sterbefälle","Germany",2000,"09.05.",2000-05-09,2278,"e"
"Statistik der Sterbefälle","Germany",2000,"10.05.",2000-05-10,2205,"e"
"Statistik der Sterbefälle","Germany",2000,"11.05.",2000-05-11,2231,"e"
"Statistik der Sterbefälle","Germany",2000,"12.05.",2000-05-12,2225,"e"
"Statistik der Sterbefälle","Germany",2000,"13.05.",2000-05-13,2143,"e"
"Statistik der Sterbefälle","Germany",2000,"14.05.",2000-05-14,2057,"e"
"Statistik der Sterbefälle","Germany",2000,"15.05.",2000-05-15,2316,"e"
"Statistik der Sterbefälle","Germany",2000,"16.05.",2000-05-16,2352,"e"
"Statistik der Sterbefälle","Germany",2000,"17.05.",2000-05-17,2315,"e"
"Statistik der Sterbefälle","Germany",2000,"18.05.",2000-05-18,2097,"e"
"Statistik der Sterbefälle","Germany",2000,"19.05.",2000-05-19,2153,"e"
"Statistik der Sterbefälle","Germany",2000,"20.05.",2000-05-20,2042,"e"
"Statistik der Sterbefälle","Germany",2000,"21.05.",2000-05-21,2036,"e"
"Statistik der Sterbefälle","Germany",2000,"22.05.",2000-05-22,2099,"e"
"Statistik der Sterbefälle","Germany",2000,"23.05.",2000-05-23,2042,"e"
"Statistik der Sterbefälle","Germany",2000,"24.05.",2000-05-24,2129,"e"
"Statistik der Sterbefälle","Germany",2000,"25.05.",2000-05-25,2080,"e"
"Statistik der Sterbefälle","Germany",2000,"26.05.",2000-05-26,2190,"e"
"Statistik der Sterbefälle","Germany",2000,"27.05.",2000-05-27,2004,"e"
"Statistik der Sterbefälle","Germany",2000,"28.05.",2000-05-28,2126,"e"
"Statistik der Sterbefälle","Germany",2000,"29.05.",2000-05-29,2111,"e"
"Statistik der Sterbefälle","Germany",2000,"30.05.",2000-05-30,2087,"e"
"Statistik der Sterbefälle","Germany",2000,"31.05.",2000-05-31,2125,"e"
"Statistik der Sterbefälle","Germany",2000,"01.06.",2000-06-01,2253,"e"
"Statistik der Sterbefälle","Germany",2000,"02.06.",2000-06-02,2290,"e"
"Statistik der Sterbefälle","Germany",2000,"03.06.",2000-06-03,2213,"e"
"Statistik der Sterbefälle","Germany",2000,"04.06.",2000-06-04,2192,"e"
"Statistik der Sterbefälle","Germany",2000,"05.06.",2000-06-05,2188,"e"
"Statistik der Sterbefälle","Germany",2000,"06.06.",2000-06-06,2144,"e"
"Statistik der Sterbefälle","Germany",2000,"07.06.",2000-06-07,2085,"e"
"Statistik der Sterbefälle","Germany",2000,"08.06.",2000-06-08,2140,"e"
"Statistik der Sterbefälle","Germany",2000,"09.06.",2000-06-09,2207,"e"
"Statistik der Sterbefälle","Germany",2000,"10.06.",2000-06-10,2299,"e"
"Statistik der Sterbefälle","Germany",2000,"11.06.",2000-06-11,2229,"e"
"Statistik der Sterbefälle","Germany",2000,"12.06.",2000-06-12,2066,"e"
"Statistik der Sterbefälle","Germany",2000,"13.06.",2000-06-13,2117,"e"
"Statistik der Sterbefälle","Germany",2000,"14.06.",2000-06-14,2325,"e"
"Statistik der Sterbefälle","Germany",2000,"15.06.",2000-06-15,2076,"e"
"Statistik der Sterbefälle","Germany",2000,"16.06.",2000-06-16,2020,"e"
"Statistik der Sterbefälle","Germany",2000,"17.06.",2000-06-17,2008,"e"
"Statistik der Sterbefälle","Germany",2000,"18.06.",2000-06-18,2083,"e"
"Statistik der Sterbefälle","Germany",2000,"19.06.",2000-06-19,2270,"e"
"Statistik der Sterbefälle","Germany",2000,"20.06.",2000-06-20,2497,"e"
"Statistik der Sterbefälle","Germany",2000,"21.06.",2000-06-21,2567,"e"
"Statistik der Sterbefälle","Germany",2000,"22.06.",2000-06-22,2405,"e"
"Statistik der Sterbefälle","Germany",2000,"23.06.",2000-06-23,2130,"e"
"Statistik der Sterbefälle","Germany",2000,"24.06.",2000-06-24,2050,"e"
"Statistik der Sterbefälle","Germany",2000,"25.06.",2000-06-25,2030,"e"
"Statistik der Sterbefälle","Germany",2000,"26.06.",2000-06-26,2099,"e"
"Statistik der Sterbefälle","Germany",2000,"27.06.",2000-06-27,2033,"e"
"Statistik der Sterbefälle","Germany",2000,"28.06.",2000-06-28,2028,"e"
"Statistik der Sterbefälle","Germany",2000,"29.06.",2000-06-29,2102,"e"
"Statistik der Sterbefälle","Germany",2000,"30.06.",2000-06-30,2074,"e"
"Statistik der Sterbefälle","Germany",2000,"01.07.",2000-07-01,2152,"e"
"Statistik der Sterbefälle","Germany",2000,"02.07.",2000-07-02,2061,"e"
"Statistik der Sterbefälle","Germany",2000,"03.07.",2000-07-03,2208,"e"
"Statistik der Sterbefälle","Germany",2000,"04.07.",2000-07-04,2220,"e"
"Statistik der Sterbefälle","Germany",2000,"05.07.",2000-07-05,2065,"e"
"Statistik der Sterbefälle","Germany",2000,"06.07.",2000-07-06,2107,"e"
"Statistik der Sterbefälle","Germany",2000,"07.07.",2000-07-07,2118,"e"
"Statistik der Sterbefälle","Germany",2000,"08.07.",2000-07-08,2008,"e"
"Statistik der Sterbefälle","Germany",2000,"09.07.",2000-07-09,1916,"e"
"Statistik der Sterbefälle","Germany",2000,"10.07.",2000-07-10,2153,"e"
"Statistik der Sterbefälle","Germany",2000,"11.07.",2000-07-11,2036,"e"
"Statistik der Sterbefälle","Germany",2000,"12.07.",2000-07-12,2049,"e"
"Statistik der Sterbefälle","Germany",2000,"13.07.",2000-07-13,1985,"e"
"Statistik der Sterbefälle","Germany",2000,"14.07.",2000-07-14,2140,"e"
"Statistik der Sterbefälle","Germany",2000,"15.07.",2000-07-15,2054,"e"
"Statistik der Sterbefälle","Germany",2000,"16.07.",2000-07-16,2025,"e"
"Statistik der Sterbefälle","Germany",2000,"17.07.",2000-07-17,2085,"e"
"Statistik der Sterbefälle","Germany",2000,"18.07.",2000-07-18,2129,"e"
"Statistik der Sterbefälle","Germany",2000,"19.07.",2000-07-19,2141,"e"
"Statistik der Sterbefälle","Germany",2000,"20.07.",2000-07-20,2109,"e"
"Statistik der Sterbefälle","Germany",2000,"21.07.",2000-07-21,2071,"e"
"Statistik der Sterbefälle","Germany",2000,"22.07.",2000-07-22,2067,"e"
"Statistik der Sterbefälle","Germany",2000,"23.07.",2000-07-23,2135,"e"
"Statistik der Sterbefälle","Germany",2000,"24.07.",2000-07-24,2179,"e"
"Statistik der Sterbefälle","Germany",2000,"25.07.",2000-07-25,2252,"e"
"Statistik der Sterbefälle","Germany",2000,"26.07.",2000-07-26,2145,"e"
"Statistik der Sterbefälle","Germany",2000,"27.07.",2000-07-27,2227,"e"
"Statistik der Sterbefälle","Germany",2000,"28.07.",2000-07-28,2087,"e"
"Statistik der Sterbefälle","Germany",2000,"29.07.",2000-07-29,2041,"e"
"Statistik der Sterbefälle","Germany",2000,"30.07.",2000-07-30,2005,"e"
"Statistik der Sterbefälle","Germany",2000,"31.07.",2000-07-31,2037,"e"
"Statistik der Sterbefälle","Germany",2000,"01.08.",2000-08-01,2203,"e"
"Statistik der Sterbefälle","Germany",2000,"02.08.",2000-08-02,2226,"e"
"Statistik der Sterbefälle","Germany",2000,"03.08.",2000-08-03,2218,"e"
"Statistik der Sterbefälle","Germany",2000,"04.08.",2000-08-04,2104,"e"
"Statistik der Sterbefälle","Germany",2000,"05.08.",2000-08-05,2114,"e"
"Statistik der Sterbefälle","Germany",2000,"06.08.",2000-08-06,2058,"e"
"Statistik der Sterbefälle","Germany",2000,"07.08.",2000-08-07,2192,"e"
"Statistik der Sterbefälle","Germany",2000,"08.08.",2000-08-08,2001,"e"
"Statistik der Sterbefälle","Germany",2000,"09.08.",2000-08-09,2063,"e"
"Statistik der Sterbefälle","Germany",2000,"10.08.",2000-08-10,2146,"e"
"Statistik der Sterbefälle","Germany",2000,"11.08.",2000-08-11,2143,"e"
"Statistik der Sterbefälle","Germany",2000,"12.08.",2000-08-12,2076,"e"
"Statistik der Sterbefälle","Germany",2000,"13.08.",2000-08-13,2114,"e"
"Statistik der Sterbefälle","Germany",2000,"14.08.",2000-08-14,2344,"e"
"Statistik der Sterbefälle","Germany",2000,"15.08.",2000-08-15,2306,"e"
"Statistik der Sterbefälle","Germany",2000,"16.08.",2000-08-16,2177,"e"
"Statistik der Sterbefälle","Germany",2000,"17.08.",2000-08-17,2192,"e"
"Statistik der Sterbefälle","Germany",2000,"18.08.",2000-08-18,2175,"e"
"Statistik der Sterbefälle","Germany",2000,"19.08.",2000-08-19,2166,"e"
"Statistik der Sterbefälle","Germany",2000,"20.08.",2000-08-20,2143,"e"
"Statistik der Sterbefälle","Germany",2000,"21.08.",2000-08-21,2092,"e"
"Statistik der Sterbefälle","Germany",2000,"22.08.",2000-08-22,2007,"e"
"Statistik der Sterbefälle","Germany",2000,"23.08.",2000-08-23,2071,"e"
"Statistik der Sterbefälle","Germany",2000,"24.08.",2000-08-24,1855,"e"
"Statistik der Sterbefälle","Germany",2000,"25.08.",2000-08-25,2055,"e"
"Statistik der Sterbefälle","Germany",2000,"26.08.",2000-08-26,2087,"e"
"Statistik der Sterbefälle","Germany",2000,"27.08.",2000-08-27,2001,"e"
"Statistik der Sterbefälle","Germany",2000,"28.08.",2000-08-28,2134,"e"
"Statistik der Sterbefälle","Germany",2000,"29.08.",2000-08-29,2062,"e"
"Statistik der Sterbefälle","Germany",2000,"30.08.",2000-08-30,2023,"e"
"Statistik der Sterbefälle","Germany",2000,"31.08.",2000-08-31,2056,"e"
"Statistik der Sterbefälle","Germany",2000,"01.09.",2000-09-01,2068,"e"
"Statistik der Sterbefälle","Germany",2000,"02.09.",2000-09-02,2124,"e"
"Statistik der Sterbefälle","Germany",2000,"03.09.",2000-09-03,2005,"e"
"Statistik der Sterbefälle","Germany",2000,"04.09.",2000-09-04,1981,"e"
"Statistik der Sterbefälle","Germany",2000,"05.09.",2000-09-05,2081,"e"
"Statistik der Sterbefälle","Germany",2000,"06.09.",2000-09-06,2135,"e"
"Statistik der Sterbefälle","Germany",2000,"07.09.",2000-09-07,2158,"e"
"Statistik der Sterbefälle","Germany",2000,"08.09.",2000-09-08,2073,"e"
"Statistik der Sterbefälle","Germany",2000,"09.09.",2000-09-09,2187,"e"
"Statistik der Sterbefälle","Germany",2000,"10.09.",2000-09-10,2201,"e"
"Statistik der Sterbefälle","Germany",2000,"11.09.",2000-09-11,2160,"e"
"Statistik der Sterbefälle","Germany",2000,"12.09.",2000-09-12,2175,"e"
"Statistik der Sterbefälle","Germany",2000,"13.09.",2000-09-13,2123,"e"
"Statistik der Sterbefälle","Germany",2000,"14.09.",2000-09-14,2144,"e"
"Statistik der Sterbefälle","Germany",2000,"15.09.",2000-09-15,2183,"e"
"Statistik der Sterbefälle","Germany",2000,"16.09.",2000-09-16,2068,"e"
"Statistik der Sterbefälle","Germany",2000,"17.09.",2000-09-17,2106,"e"
"Statistik der Sterbefälle","Germany",2000,"18.09.",2000-09-18,2059,"e"
"Statistik der Sterbefälle","Germany",2000,"19.09.",2000-09-19,2198,"e"
"Statistik der Sterbefälle","Germany",2000,"20.09.",2000-09-20,2153,"e"
"Statistik der Sterbefälle","Germany",2000,"21.09.",2000-09-21,2083,"e"
"Statistik der Sterbefälle","Germany",2000,"22.09.",2000-09-22,2099,"e"
"Statistik der Sterbefälle","Germany",2000,"23.09.",2000-09-23,2104,"e"
"Statistik der Sterbefälle","Germany",2000,"24.09.",2000-09-24,2079,"e"
"Statistik der Sterbefälle","Germany",2000,"25.09.",2000-09-25,2088,"e"
"Statistik der Sterbefälle","Germany",2000,"26.09.",2000-09-26,2176,"e"
"Statistik der Sterbefälle","Germany",2000,"27.09.",2000-09-27,2167,"e"
"Statistik der Sterbefälle","Germany",2000,"28.09.",2000-09-28,2117,"e"
"Statistik der Sterbefälle","Germany",2000,"29.09.",2000-09-29,2210,"e"
"Statistik der Sterbefälle","Germany",2000,"30.09.",2000-09-30,2182,"e"
"Statistik der Sterbefälle","Germany",2000,"01.10.",2000-10-01,2122,"e"
"Statistik der Sterbefälle","Germany",2000,"02.10.",2000-10-02,2160,"e"
"Statistik der Sterbefälle","Germany",2000,"03.10.",2000-10-03,2065,"e"
"Statistik der Sterbefälle","Germany",2000,"04.10.",2000-10-04,2138,"e"
"Statistik der Sterbefälle","Germany",2000,"05.10.",2000-10-05,2129,"e"
"Statistik der Sterbefälle","Germany",2000,"06.10.",2000-10-06,2094,"e"
"Statistik der Sterbefälle","Germany",2000,"07.10.",2000-10-07,2156,"e"
"Statistik der Sterbefälle","Germany",2000,"08.10.",2000-10-08,2128,"e"
"Statistik der Sterbefälle","Germany",2000,"09.10.",2000-10-09,2218,"e"
"Statistik der Sterbefälle","Germany",2000,"10.10.",2000-10-10,2332,"e"
"Statistik der Sterbefälle","Germany",2000,"11.10.",2000-10-11,2222,"e"
"Statistik der Sterbefälle","Germany",2000,"12.10.",2000-10-12,2243,"e"
"Statistik der Sterbefälle","Germany",2000,"13.10.",2000-10-13,2291,"e"
"Statistik der Sterbefälle","Germany",2000,"14.10.",2000-10-14,2277,"e"
"Statistik der Sterbefälle","Germany",2000,"15.10.",2000-10-15,2241,"e"
"Statistik der Sterbefälle","Germany",2000,"16.10.",2000-10-16,2287,"e"
"Statistik der Sterbefälle","Germany",2000,"17.10.",2000-10-17,2201,"e"
"Statistik der Sterbefälle","Germany",2000,"18.10.",2000-10-18,2264,"e"
"Statistik der Sterbefälle","Germany",2000,"19.10.",2000-10-19,2253,"e"
"Statistik der Sterbefälle","Germany",2000,"20.10.",2000-10-20,2246,"e"
"Statistik der Sterbefälle","Germany",2000,"21.10.",2000-10-21,2215,"e"
"Statistik der Sterbefälle","Germany",2000,"22.10.",2000-10-22,2157,"e"
"Statistik der Sterbefälle","Germany",2000,"23.10.",2000-10-23,2147,"e"
"Statistik der Sterbefälle","Germany",2000,"24.10.",2000-10-24,2378,"e"
"Statistik der Sterbefälle","Germany",2000,"25.10.",2000-10-25,2302,"e"
"Statistik der Sterbefälle","Germany",2000,"26.10.",2000-10-26,2223,"e"
"Statistik der Sterbefälle","Germany",2000,"27.10.",2000-10-27,2195,"e"
"Statistik der Sterbefälle","Germany",2000,"28.10.",2000-10-28,2142,"e"
"Statistik der Sterbefälle","Germany",2000,"29.10.",2000-10-29,2236,"e"
"Statistik der Sterbefälle","Germany",2000,"30.10.",2000-10-30,2221,"e"
"Statistik der Sterbefälle","Germany",2000,"31.10.",2000-10-31,2299,"e"
"Statistik der Sterbefälle","Germany",2000,"01.11.",2000-11-01,2177,"e"
"Statistik der Sterbefälle","Germany",2000,"02.11.",2000-11-02,2369,"e"
"Statistik der Sterbefälle","Germany",2000,"03.11.",2000-11-03,2331,"e"
"Statistik der Sterbefälle","Germany",2000,"04.11.",2000-11-04,2241,"e"
"Statistik der Sterbefälle","Germany",2000,"05.11.",2000-11-05,2121,"e"
"Statistik der Sterbefälle","Germany",2000,"06.11.",2000-11-06,2342,"e"
"Statistik der Sterbefälle","Germany",2000,"07.11.",2000-11-07,2323,"e"
"Statistik der Sterbefälle","Germany",2000,"08.11.",2000-11-08,2292,"e"
"Statistik der Sterbefälle","Germany",2000,"09.11.",2000-11-09,2298,"e"
"Statistik der Sterbefälle","Germany",2000,"10.11.",2000-11-10,2321,"e"
"Statistik der Sterbefälle","Germany",2000,"11.11.",2000-11-11,2224,"e"
"Statistik der Sterbefälle","Germany",2000,"12.11.",2000-11-12,2251,"e"
"Statistik der Sterbefälle","Germany",2000,"13.11.",2000-11-13,2476,"e"
"Statistik der Sterbefälle","Germany",2000,"14.11.",2000-11-14,2278,"e"
"Statistik der Sterbefälle","Germany",2000,"15.11.",2000-11-15,2287,"e"
"Statistik der Sterbefälle","Germany",2000,"16.11.",2000-11-16,2323,"e"
"Statistik der Sterbefälle","Germany",2000,"17.11.",2000-11-17,2266,"e"
"Statistik der Sterbefälle","Germany",2000,"18.11.",2000-11-18,2276,"e"
"Statistik der Sterbefälle","Germany",2000,"19.11.",2000-11-19,2196,"e"
"Statistik der Sterbefälle","Germany",2000,"20.11.",2000-11-20,2339,"e"
"Statistik der Sterbefälle","Germany",2000,"21.11.",2000-11-21,2253,"e"
"Statistik der Sterbefälle","Germany",2000,"22.11.",2000-11-22,2342,"e"
"Statistik der Sterbefälle","Germany",2000,"23.11.",2000-11-23,2359,"e"
"Statistik der Sterbefälle","Germany",2000,"24.11.",2000-11-24,2260,"e"
"Statistik der Sterbefälle","Germany",2000,"25.11.",2000-11-25,2237,"e"
"Statistik der Sterbefälle","Germany",2000,"26.11.",2000-11-26,2216,"e"
"Statistik der Sterbefälle","Germany",2000,"27.11.",2000-11-27,2288,"e"
"Statistik der Sterbefälle","Germany",2000,"28.11.",2000-11-28,2300,"e"
"Statistik der Sterbefälle","Germany",2000,"29.11.",2000-11-29,2289,"e"
"Statistik der Sterbefälle","Germany",2000,"30.11.",2000-11-30,2275,"e"
"Statistik der Sterbefälle","Germany",2000,"01.12.",2000-12-01,2325,"e"
"Statistik der Sterbefälle","Germany",2000,"02.12.",2000-12-02,2341,"e"
"Statistik der Sterbefälle","Germany",2000,"03.12.",2000-12-03,2209,"e"
"Statistik der Sterbefälle","Germany",2000,"04.12.",2000-12-04,2192,"e"
"Statistik der Sterbefälle","Germany",2000,"05.12.",2000-12-05,2316,"e"
