"statistic","country","year","week","age","sex","deaths","quality"
"Statistik der Sterbefälle","Germany",2003,2,"85-89","Male","821","e"
"Statistik der Sterbefälle","Germany",2003,2,"85-89","Female","1874","e"
"Statistik der Sterbefälle","Germany",2003,2,"90-94","Male","592","e"
"Statistik der Sterbefälle","Germany",2003,2,"90-94","Female","1704","e"
"Statistik der Sterbefälle","Germany",2003,2,"95+","Male","120","e"
"Statistik der Sterbefälle","Germany",2003,2,"95+","Female","620","e"
"Statistik der Sterbefälle","Germany",2003,3,"0-29","Male","136","e"
"Statistik der Sterbefälle","Germany",2003,3,"0-29","Female","74","e"
"Statistik der Sterbefälle","Germany",2003,3,"30-34","Male","63","e"
"Statistik der Sterbefälle","Germany",2003,3,"30-34","Female","28","e"
"Statistik der Sterbefälle","Germany",2003,3,"35-39","Male","86","e"
"Statistik der Sterbefälle","Germany",2003,3,"35-39","Female","46","e"
"Statistik der Sterbefälle","Germany",2003,3,"40-44","Male","153","e"
"Statistik der Sterbefälle","Germany",2003,3,"40-44","Female","74","e"
"Statistik der Sterbefälle","Germany",2003,3,"45-49","Male","218","e"
"Statistik der Sterbefälle","Germany",2003,3,"45-49","Female","123","e"
"Statistik der Sterbefälle","Germany",2003,3,"50-54","Male","337","e"
"Statistik der Sterbefälle","Germany",2003,3,"50-54","Female","167","e"
"Statistik der Sterbefälle","Germany",2003,3,"55-59","Male","406","e"
"Statistik der Sterbefälle","Germany",2003,3,"55-59","Female","181","e"
"Statistik der Sterbefälle","Germany",2003,3,"60-64","Male","754","e"
"Statistik der Sterbefälle","Germany",2003,3,"60-64","Female","390","e"
"Statistik der Sterbefälle","Germany",2003,3,"65-69","Male","944","e"
"Statistik der Sterbefälle","Germany",2003,3,"65-69","Female","536","e"
"Statistik der Sterbefälle","Germany",2003,3,"70-74","Male","1194","e"
"Statistik der Sterbefälle","Germany",2003,3,"70-74","Female","784","e"
"Statistik der Sterbefälle","Germany",2003,3,"75-79","Male","1288","e"
"Statistik der Sterbefälle","Germany",2003,3,"75-79","Female","1347","e"
"Statistik der Sterbefälle","Germany",2003,3,"80-84","Male","1153","e"
"Statistik der Sterbefälle","Germany",2003,3,"80-84","Female","1833","e"
"Statistik der Sterbefälle","Germany",2003,3,"85-89","Male","756","e"
"Statistik der Sterbefälle","Germany",2003,3,"85-89","Female","1805","e"
"Statistik der Sterbefälle","Germany",2003,3,"90-94","Male","521","e"
"Statistik der Sterbefälle","Germany",2003,3,"90-94","Female","1714","e"
"Statistik der Sterbefälle","Germany",2003,3,"95+","Male","136","e"
"Statistik der Sterbefälle","Germany",2003,3,"95+","Female","614","e"
"Statistik der Sterbefälle","Germany",2003,4,"0-29","Male","135","e"
"Statistik der Sterbefälle","Germany",2003,4,"0-29","Female","67","e"
"Statistik der Sterbefälle","Germany",2003,4,"30-34","Male","75","e"
"Statistik der Sterbefälle","Germany",2003,4,"30-34","Female","28","e"
"Statistik der Sterbefälle","Germany",2003,4,"35-39","Male","94","e"
"Statistik der Sterbefälle","Germany",2003,4,"35-39","Female","49","e"
"Statistik der Sterbefälle","Germany",2003,4,"40-44","Male","161","e"
"Statistik der Sterbefälle","Germany",2003,4,"40-44","Female","78","e"
"Statistik der Sterbefälle","Germany",2003,4,"45-49","Male","220","e"
"Statistik der Sterbefälle","Germany",2003,4,"45-49","Female","101","e"
"Statistik der Sterbefälle","Germany",2003,4,"50-54","Male","338","e"
"Statistik der Sterbefälle","Germany",2003,4,"50-54","Female","159","e"
"Statistik der Sterbefälle","Germany",2003,4,"55-59","Male","391","e"
"Statistik der Sterbefälle","Germany",2003,4,"55-59","Female","207","e"
"Statistik der Sterbefälle","Germany",2003,4,"60-64","Male","743","e"
"Statistik der Sterbefälle","Germany",2003,4,"60-64","Female","350","e"
"Statistik der Sterbefälle","Germany",2003,4,"65-69","Male","992","e"
"Statistik der Sterbefälle","Germany",2003,4,"65-69","Female","464","e"
"Statistik der Sterbefälle","Germany",2003,4,"70-74","Male","1201","e"
"Statistik der Sterbefälle","Germany",2003,4,"70-74","Female","750","e"
"Statistik der Sterbefälle","Germany",2003,4,"75-79","Male","1191","e"
"Statistik der Sterbefälle","Germany",2003,4,"75-79","Female","1288","e"
"Statistik der Sterbefälle","Germany",2003,4,"80-84","Male","1087","e"
"Statistik der Sterbefälle","Germany",2003,4,"80-84","Female","1832","e"
"Statistik der Sterbefälle","Germany",2003,4,"85-89","Male","730","e"
"Statistik der Sterbefälle","Germany",2003,4,"85-89","Female","1879","e"
"Statistik der Sterbefälle","Germany",2003,4,"90-94","Male","519","e"
"Statistik der Sterbefälle","Germany",2003,4,"90-94","Female","1626","e"
"Statistik der Sterbefälle","Germany",2003,4,"95+","Male","117","e"
"Statistik der Sterbefälle","Germany",2003,4,"95+","Female","637","e"
"Statistik der Sterbefälle","Germany",2003,5,"0-29","Male","140","e"
"Statistik der Sterbefälle","Germany",2003,5,"0-29","Female","72","e"
"Statistik der Sterbefälle","Germany",2003,5,"30-34","Male","42","e"
"Statistik der Sterbefälle","Germany",2003,5,"30-34","Female","18","e"
"Statistik der Sterbefälle","Germany",2003,5,"35-39","Male","93","e"
"Statistik der Sterbefälle","Germany",2003,5,"35-39","Female","47","e"
"Statistik der Sterbefälle","Germany",2003,5,"40-44","Male","148","e"
"Statistik der Sterbefälle","Germany",2003,5,"40-44","Female","85","e"
"Statistik der Sterbefälle","Germany",2003,5,"45-49","Male","236","e"
"Statistik der Sterbefälle","Germany",2003,5,"45-49","Female","116","e"
"Statistik der Sterbefälle","Germany",2003,5,"50-54","Male","332","e"
"Statistik der Sterbefälle","Germany",2003,5,"50-54","Female","170","e"
"Statistik der Sterbefälle","Germany",2003,5,"55-59","Male","391","e"
"Statistik der Sterbefälle","Germany",2003,5,"55-59","Female","191","e"
"Statistik der Sterbefälle","Germany",2003,5,"60-64","Male","751","e"
"Statistik der Sterbefälle","Germany",2003,5,"60-64","Female","312","e"
"Statistik der Sterbefälle","Germany",2003,5,"65-69","Male","988","e"
"Statistik der Sterbefälle","Germany",2003,5,"65-69","Female","498","e"
"Statistik der Sterbefälle","Germany",2003,5,"70-74","Male","1169","e"
"Statistik der Sterbefälle","Germany",2003,5,"70-74","Female","717","e"
"Statistik der Sterbefälle","Germany",2003,5,"75-79","Male","1210","e"
"Statistik der Sterbefälle","Germany",2003,5,"75-79","Female","1308","e"
"Statistik der Sterbefälle","Germany",2003,5,"80-84","Male","1092","e"
"Statistik der Sterbefälle","Germany",2003,5,"80-84","Female","1742","e"
"Statistik der Sterbefälle","Germany",2003,5,"85-89","Male","761","e"
"Statistik der Sterbefälle","Germany",2003,5,"85-89","Female","1780","e"
"Statistik der Sterbefälle","Germany",2003,5,"90-94","Male","511","e"
"Statistik der Sterbefälle","Germany",2003,5,"90-94","Female","1600","e"
"Statistik der Sterbefälle","Germany",2003,5,"95+","Male","123","e"
"Statistik der Sterbefälle","Germany",2003,5,"95+","Female","590","e"
"Statistik der Sterbefälle","Germany",2003,6,"0-29","Male","132","e"
"Statistik der Sterbefälle","Germany",2003,6,"0-29","Female","70","e"
"Statistik der Sterbefälle","Germany",2003,6,"30-34","Male","51","e"
"Statistik der Sterbefälle","Germany",2003,6,"30-34","Female","20","e"
"Statistik der Sterbefälle","Germany",2003,6,"35-39","Male","94","e"
"Statistik der Sterbefälle","Germany",2003,6,"35-39","Female","47","e"
"Statistik der Sterbefälle","Germany",2003,6,"40-44","Male","151","e"
"Statistik der Sterbefälle","Germany",2003,6,"40-44","Female","73","e"
"Statistik der Sterbefälle","Germany",2003,6,"45-49","Male","202","e"
"Statistik der Sterbefälle","Germany",2003,6,"45-49","Female","114","e"
"Statistik der Sterbefälle","Germany",2003,6,"50-54","Male","309","e"
"Statistik der Sterbefälle","Germany",2003,6,"50-54","Female","167","e"
"Statistik der Sterbefälle","Germany",2003,6,"55-59","Male","416","e"
"Statistik der Sterbefälle","Germany",2003,6,"55-59","Female","197","e"
"Statistik der Sterbefälle","Germany",2003,6,"60-64","Male","753","e"
"Statistik der Sterbefälle","Germany",2003,6,"60-64","Female","342","e"
"Statistik der Sterbefälle","Germany",2003,6,"65-69","Male","1034","e"
"Statistik der Sterbefälle","Germany",2003,6,"65-69","Female","512","e"
"Statistik der Sterbefälle","Germany",2003,6,"70-74","Male","1182","e"
"Statistik der Sterbefälle","Germany",2003,6,"70-74","Female","802","e"
"Statistik der Sterbefälle","Germany",2003,6,"75-79","Male","1160","e"
"Statistik der Sterbefälle","Germany",2003,6,"75-79","Female","1261","e"
"Statistik der Sterbefälle","Germany",2003,6,"80-84","Male","1141","e"
"Statistik der Sterbefälle","Germany",2003,6,"80-84","Female","1804","e"
"Statistik der Sterbefälle","Germany",2003,6,"85-89","Male","754","e"
"Statistik der Sterbefälle","Germany",2003,6,"85-89","Female","1753","e"
"Statistik der Sterbefälle","Germany",2003,6,"90-94","Male","538","e"
"Statistik der Sterbefälle","Germany",2003,6,"90-94","Female","1583","e"
"Statistik der Sterbefälle","Germany",2003,6,"95+","Male","131","e"
"Statistik der Sterbefälle","Germany",2003,6,"95+","Female","579","e"
"Statistik der Sterbefälle","Germany",2003,7,"0-29","Male","130","e"
"Statistik der Sterbefälle","Germany",2003,7,"0-29","Female","77","e"
"Statistik der Sterbefälle","Germany",2003,7,"30-34","Male","52","e"
"Statistik der Sterbefälle","Germany",2003,7,"30-34","Female","25","e"
"Statistik der Sterbefälle","Germany",2003,7,"35-39","Male","103","e"
"Statistik der Sterbefälle","Germany",2003,7,"35-39","Female","49","e"
"Statistik der Sterbefälle","Germany",2003,7,"40-44","Male","126","e"
"Statistik der Sterbefälle","Germany",2003,7,"40-44","Female","68","e"
"Statistik der Sterbefälle","Germany",2003,7,"45-49","Male","206","e"
"Statistik der Sterbefälle","Germany",2003,7,"45-49","Female","108","e"
"Statistik der Sterbefälle","Germany",2003,7,"50-54","Male","303","e"
"Statistik der Sterbefälle","Germany",2003,7,"50-54","Female","161","e"
"Statistik der Sterbefälle","Germany",2003,7,"55-59","Male","393","e"
"Statistik der Sterbefälle","Germany",2003,7,"55-59","Female","193","e"
"Statistik der Sterbefälle","Germany",2003,7,"60-64","Male","747","e"
"Statistik der Sterbefälle","Germany",2003,7,"60-64","Female","369","e"
"Statistik der Sterbefälle","Germany",2003,7,"65-69","Male","968","e"
"Statistik der Sterbefälle","Germany",2003,7,"65-69","Female","499","e"
"Statistik der Sterbefälle","Germany",2003,7,"70-74","Male","1220","e"
"Statistik der Sterbefälle","Germany",2003,7,"70-74","Female","802","e"
"Statistik der Sterbefälle","Germany",2003,7,"75-79","Male","1212","e"
"Statistik der Sterbefälle","Germany",2003,7,"75-79","Female","1250","e"
"Statistik der Sterbefälle","Germany",2003,7,"80-84","Male","1101","e"
"Statistik der Sterbefälle","Germany",2003,7,"80-84","Female","1836","e"
"Statistik der Sterbefälle","Germany",2003,7,"85-89","Male","729","e"
"Statistik der Sterbefälle","Germany",2003,7,"85-89","Female","1694","e"
"Statistik der Sterbefälle","Germany",2003,7,"90-94","Male","524","e"
"Statistik der Sterbefälle","Germany",2003,7,"90-94","Female","1595","e"
"Statistik der Sterbefälle","Germany",2003,7,"95+","Male","127","e"
"Statistik der Sterbefälle","Germany",2003,7,"95+","Female","589","e"
"Statistik der Sterbefälle","Germany",2003,8,"0-29","Male","141","e"
"Statistik der Sterbefälle","Germany",2003,8,"0-29","Female","88","e"
"Statistik der Sterbefälle","Germany",2003,8,"30-34","Male","47","e"
"Statistik der Sterbefälle","Germany",2003,8,"30-34","Female","25","e"
"Statistik der Sterbefälle","Germany",2003,8,"35-39","Male","81","e"
"Statistik der Sterbefälle","Germany",2003,8,"35-39","Female","51","e"
"Statistik der Sterbefälle","Germany",2003,8,"40-44","Male","128","e"
"Statistik der Sterbefälle","Germany",2003,8,"40-44","Female","63","e"
"Statistik der Sterbefälle","Germany",2003,8,"45-49","Male","240","e"
"Statistik der Sterbefälle","Germany",2003,8,"45-49","Female","128","e"
"Statistik der Sterbefälle","Germany",2003,8,"50-54","Male","321","e"
"Statistik der Sterbefälle","Germany",2003,8,"50-54","Female","166","e"
"Statistik der Sterbefälle","Germany",2003,8,"55-59","Male","379","e"
"Statistik der Sterbefälle","Germany",2003,8,"55-59","Female","215","e"
"Statistik der Sterbefälle","Germany",2003,8,"60-64","Male","789","e"
"Statistik der Sterbefälle","Germany",2003,8,"60-64","Female","410","e"
"Statistik der Sterbefälle","Germany",2003,8,"65-69","Male","1036","e"
"Statistik der Sterbefälle","Germany",2003,8,"65-69","Female","569","e"
"Statistik der Sterbefälle","Germany",2003,8,"70-74","Male","1277","e"
"Statistik der Sterbefälle","Germany",2003,8,"70-74","Female","769","e"
"Statistik der Sterbefälle","Germany",2003,8,"75-79","Male","1347","e"
"Statistik der Sterbefälle","Germany",2003,8,"75-79","Female","1394","e"
"Statistik der Sterbefälle","Germany",2003,8,"80-84","Male","1189","e"
"Statistik der Sterbefälle","Germany",2003,8,"80-84","Female","1954","e"
"Statistik der Sterbefälle","Germany",2003,8,"85-89","Male","760","e"
"Statistik der Sterbefälle","Germany",2003,8,"85-89","Female","1919","e"
"Statistik der Sterbefälle","Germany",2003,8,"90-94","Male","583","e"
"Statistik der Sterbefälle","Germany",2003,8,"90-94","Female","1745","e"
"Statistik der Sterbefälle","Germany",2003,8,"95+","Male","128","e"
"Statistik der Sterbefälle","Germany",2003,8,"95+","Female","665","e"
"Statistik der Sterbefälle","Germany",2003,9,"0-29","Male","163","e"
"Statistik der Sterbefälle","Germany",2003,9,"0-29","Female","93","e"
"Statistik der Sterbefälle","Germany",2003,9,"30-34","Male","55","e"
"Statistik der Sterbefälle","Germany",2003,9,"30-34","Female","23","e"
"Statistik der Sterbefälle","Germany",2003,9,"35-39","Male","98","e"
"Statistik der Sterbefälle","Germany",2003,9,"35-39","Female","50","e"
"Statistik der Sterbefälle","Germany",2003,9,"40-44","Male","168","e"
"Statistik der Sterbefälle","Germany",2003,9,"40-44","Female","83","e"
"Statistik der Sterbefälle","Germany",2003,9,"45-49","Male","225","e"
"Statistik der Sterbefälle","Germany",2003,9,"45-49","Female","119","e"
"Statistik der Sterbefälle","Germany",2003,9,"50-54","Male","304","e"
"Statistik der Sterbefälle","Germany",2003,9,"50-54","Female","181","e"
"Statistik der Sterbefälle","Germany",2003,9,"55-59","Male","411","e"
"Statistik der Sterbefälle","Germany",2003,9,"55-59","Female","235","e"
"Statistik der Sterbefälle","Germany",2003,9,"60-64","Male","810","e"
"Statistik der Sterbefälle","Germany",2003,9,"60-64","Female","398","e"
"Statistik der Sterbefälle","Germany",2003,9,"65-69","Male","1158","e"
"Statistik der Sterbefälle","Germany",2003,9,"65-69","Female","561","e"
"Statistik der Sterbefälle","Germany",2003,9,"70-74","Male","1325","e"
"Statistik der Sterbefälle","Germany",2003,9,"70-74","Female","868","e"
"Statistik der Sterbefälle","Germany",2003,9,"75-79","Male","1404","e"
"Statistik der Sterbefälle","Germany",2003,9,"75-79","Female","1474","e"
"Statistik der Sterbefälle","Germany",2003,9,"80-84","Male","1333","e"
"Statistik der Sterbefälle","Germany",2003,9,"80-84","Female","2143","e"
"Statistik der Sterbefälle","Germany",2003,9,"85-89","Male","951","e"
"Statistik der Sterbefälle","Germany",2003,9,"85-89","Female","2057","e"
"Statistik der Sterbefälle","Germany",2003,9,"90-94","Male","657","e"
"Statistik der Sterbefälle","Germany",2003,9,"90-94","Female","2012","e"
"Statistik der Sterbefälle","Germany",2003,9,"95+","Male","179","e"
"Statistik der Sterbefälle","Germany",2003,9,"95+","Female","757","e"
"Statistik der Sterbefälle","Germany",2003,10,"0-29","Male","172","e"
"Statistik der Sterbefälle","Germany",2003,10,"0-29","Female","67","e"
"Statistik der Sterbefälle","Germany",2003,10,"30-34","Male","53","e"
"Statistik der Sterbefälle","Germany",2003,10,"30-34","Female","22","e"
"Statistik der Sterbefälle","Germany",2003,10,"35-39","Male","101","e"
"Statistik der Sterbefälle","Germany",2003,10,"35-39","Female","53","e"
"Statistik der Sterbefälle","Germany",2003,10,"40-44","Male","167","e"
"Statistik der Sterbefälle","Germany",2003,10,"40-44","Female","71","e"
"Statistik der Sterbefälle","Germany",2003,10,"45-49","Male","251","e"
"Statistik der Sterbefälle","Germany",2003,10,"45-49","Female","127","e"
"Statistik der Sterbefälle","Germany",2003,10,"50-54","Male","356","e"
"Statistik der Sterbefälle","Germany",2003,10,"50-54","Female","166","e"
"Statistik der Sterbefälle","Germany",2003,10,"55-59","Male","419","e"
"Statistik der Sterbefälle","Germany",2003,10,"55-59","Female","210","e"
"Statistik der Sterbefälle","Germany",2003,10,"60-64","Male","854","e"
"Statistik der Sterbefälle","Germany",2003,10,"60-64","Female","380","e"
"Statistik der Sterbefälle","Germany",2003,10,"65-69","Male","1034","e"
"Statistik der Sterbefälle","Germany",2003,10,"65-69","Female","591","e"
"Statistik der Sterbefälle","Germany",2003,10,"70-74","Male","1378","e"
"Statistik der Sterbefälle","Germany",2003,10,"70-74","Female","832","e"
"Statistik der Sterbefälle","Germany",2003,10,"75-79","Male","1385","e"
"Statistik der Sterbefälle","Germany",2003,10,"75-79","Female","1482","e"
"Statistik der Sterbefälle","Germany",2003,10,"80-84","Male","1339","e"
"Statistik der Sterbefälle","Germany",2003,10,"80-84","Female","2070","e"
"Statistik der Sterbefälle","Germany",2003,10,"85-89","Male","876","e"
"Statistik der Sterbefälle","Germany",2003,10,"85-89","Female","2132","e"
"Statistik der Sterbefälle","Germany",2003,10,"90-94","Male","590","e"
"Statistik der Sterbefälle","Germany",2003,10,"90-94","Female","2021","e"
"Statistik der Sterbefälle","Germany",2003,10,"95+","Male","168","e"
"Statistik der Sterbefälle","Germany",2003,10,"95+","Female","709","e"
"Statistik der Sterbefälle","Germany",2003,11,"0-29","Male","169","e"
"Statistik der Sterbefälle","Germany",2003,11,"0-29","Female","64","e"
"Statistik der Sterbefälle","Germany",2003,11,"30-34","Male","53","e"
"Statistik der Sterbefälle","Germany",2003,11,"30-34","Female","23","e"
"Statistik der Sterbefälle","Germany",2003,11,"35-39","Male","92","e"
"Statistik der Sterbefälle","Germany",2003,11,"35-39","Female","48","e"
"Statistik der Sterbefälle","Germany",2003,11,"40-44","Male","175","e"
"Statistik der Sterbefälle","Germany",2003,11,"40-44","Female","71","e"
"Statistik der Sterbefälle","Germany",2003,11,"45-49","Male","244","e"
"Statistik der Sterbefälle","Germany",2003,11,"45-49","Female","101","e"
"Statistik der Sterbefälle","Germany",2003,11,"50-54","Male","317","e"
"Statistik der Sterbefälle","Germany",2003,11,"50-54","Female","153","e"
"Statistik der Sterbefälle","Germany",2003,11,"55-59","Male","443","e"
"Statistik der Sterbefälle","Germany",2003,11,"55-59","Female","201","e"
"Statistik der Sterbefälle","Germany",2003,11,"60-64","Male","791","e"
"Statistik der Sterbefälle","Germany",2003,11,"60-64","Female","406","e"
"Statistik der Sterbefälle","Germany",2003,11,"65-69","Male","1068","e"
"Statistik der Sterbefälle","Germany",2003,11,"65-69","Female","531","e"
"Statistik der Sterbefälle","Germany",2003,11,"70-74","Male","1313","e"
"Statistik der Sterbefälle","Germany",2003,11,"70-74","Female","807","e"
"Statistik der Sterbefälle","Germany",2003,11,"75-79","Male","1263","e"
"Statistik der Sterbefälle","Germany",2003,11,"75-79","Female","1407","e"
"Statistik der Sterbefälle","Germany",2003,11,"80-84","Male","1243","e"
"Statistik der Sterbefälle","Germany",2003,11,"80-84","Female","2048","e"
"Statistik der Sterbefälle","Germany",2003,11,"85-89","Male","814","e"
"Statistik der Sterbefälle","Germany",2003,11,"85-89","Female","1967","e"
"Statistik der Sterbefälle","Germany",2003,11,"90-94","Male","602","e"
"Statistik der Sterbefälle","Germany",2003,11,"90-94","Female","1872","e"
"Statistik der Sterbefälle","Germany",2003,11,"95+","Male","154","e"
"Statistik der Sterbefälle","Germany",2003,11,"95+","Female","698","e"
"Statistik der Sterbefälle","Germany",2003,12,"0-29","Male","155","e"
"Statistik der Sterbefälle","Germany",2003,12,"0-29","Female","74","e"
"Statistik der Sterbefälle","Germany",2003,12,"30-34","Male","49","e"
"Statistik der Sterbefälle","Germany",2003,12,"30-34","Female","19","e"
"Statistik der Sterbefälle","Germany",2003,12,"35-39","Male","92","e"
"Statistik der Sterbefälle","Germany",2003,12,"35-39","Female","42","e"
"Statistik der Sterbefälle","Germany",2003,12,"40-44","Male","152","e"
"Statistik der Sterbefälle","Germany",2003,12,"40-44","Female","84","e"
"Statistik der Sterbefälle","Germany",2003,12,"45-49","Male","229","e"
"Statistik der Sterbefälle","Germany",2003,12,"45-49","Female","103","e"
"Statistik der Sterbefälle","Germany",2003,12,"50-54","Male","321","e"
"Statistik der Sterbefälle","Germany",2003,12,"50-54","Female","150","e"
"Statistik der Sterbefälle","Germany",2003,12,"55-59","Male","410","e"
"Statistik der Sterbefälle","Germany",2003,12,"55-59","Female","227","e"
"Statistik der Sterbefälle","Germany",2003,12,"60-64","Male","783","e"
"Statistik der Sterbefälle","Germany",2003,12,"60-64","Female","370","e"
"Statistik der Sterbefälle","Germany",2003,12,"65-69","Male","1076","e"
"Statistik der Sterbefälle","Germany",2003,12,"65-69","Female","512","e"
"Statistik der Sterbefälle","Germany",2003,12,"70-74","Male","1208","e"
"Statistik der Sterbefälle","Germany",2003,12,"70-74","Female","794","e"
"Statistik der Sterbefälle","Germany",2003,12,"75-79","Male","1350","e"
"Statistik der Sterbefälle","Germany",2003,12,"75-79","Female","1243","e"
"Statistik der Sterbefälle","Germany",2003,12,"80-84","Male","1207","e"
"Statistik der Sterbefälle","Germany",2003,12,"80-84","Female","1859","e"
"Statistik der Sterbefälle","Germany",2003,12,"85-89","Male","773","e"
"Statistik der Sterbefälle","Germany",2003,12,"85-89","Female","1818","e"
"Statistik der Sterbefälle","Germany",2003,12,"90-94","Male","556","e"
"Statistik der Sterbefälle","Germany",2003,12,"90-94","Female","1795","e"
"Statistik der Sterbefälle","Germany",2003,12,"95+","Male","122","e"
"Statistik der Sterbefälle","Germany",2003,12,"95+","Female","675","e"
"Statistik der Sterbefälle","Germany",2003,13,"0-29","Male","140","e"
"Statistik der Sterbefälle","Germany",2003,13,"0-29","Female","76","e"
"Statistik der Sterbefälle","Germany",2003,13,"30-34","Male","55","e"
"Statistik der Sterbefälle","Germany",2003,13,"30-34","Female","16","e"
"Statistik der Sterbefälle","Germany",2003,13,"35-39","Male","114","e"
"Statistik der Sterbefälle","Germany",2003,13,"35-39","Female","44","e"
"Statistik der Sterbefälle","Germany",2003,13,"40-44","Male","147","e"
"Statistik der Sterbefälle","Germany",2003,13,"40-44","Female","77","e"
"Statistik der Sterbefälle","Germany",2003,13,"45-49","Male","189","e"
"Statistik der Sterbefälle","Germany",2003,13,"45-49","Female","114","e"
"Statistik der Sterbefälle","Germany",2003,13,"50-54","Male","283","e"
"Statistik der Sterbefälle","Germany",2003,13,"50-54","Female","162","e"
"Statistik der Sterbefälle","Germany",2003,13,"55-59","Male","427","e"
"Statistik der Sterbefälle","Germany",2003,13,"55-59","Female","178","e"
"Statistik der Sterbefälle","Germany",2003,13,"60-64","Male","760","e"
"Statistik der Sterbefälle","Germany",2003,13,"60-64","Female","347","e"
"Statistik der Sterbefälle","Germany",2003,13,"65-69","Male","1046","e"
"Statistik der Sterbefälle","Germany",2003,13,"65-69","Female","532","e"
"Statistik der Sterbefälle","Germany",2003,13,"70-74","Male","1220","e"
"Statistik der Sterbefälle","Germany",2003,13,"70-74","Female","758","e"
"Statistik der Sterbefälle","Germany",2003,13,"75-79","Male","1248","e"
"Statistik der Sterbefälle","Germany",2003,13,"75-79","Female","1308","e"
"Statistik der Sterbefälle","Germany",2003,13,"80-84","Male","1164","e"
"Statistik der Sterbefälle","Germany",2003,13,"80-84","Female","1829","e"
"Statistik der Sterbefälle","Germany",2003,13,"85-89","Male","745","e"
"Statistik der Sterbefälle","Germany",2003,13,"85-89","Female","1738","e"
"Statistik der Sterbefälle","Germany",2003,13,"90-94","Male","480","e"
"Statistik der Sterbefälle","Germany",2003,13,"90-94","Female","1680","e"
"Statistik der Sterbefälle","Germany",2003,13,"95+","Male","150","e"
"Statistik der Sterbefälle","Germany",2003,13,"95+","Female","643","e"
"Statistik der Sterbefälle","Germany",2003,14,"0-29","Male","141","e"
"Statistik der Sterbefälle","Germany",2003,14,"0-29","Female","73","e"
"Statistik der Sterbefälle","Germany",2003,14,"30-34","Male","41","e"
"Statistik der Sterbefälle","Germany",2003,14,"30-34","Female","25","e"
"Statistik der Sterbefälle","Germany",2003,14,"35-39","Male","92","e"
"Statistik der Sterbefälle","Germany",2003,14,"35-39","Female","40","e"
"Statistik der Sterbefälle","Germany",2003,14,"40-44","Male","152","e"
"Statistik der Sterbefälle","Germany",2003,14,"40-44","Female","77","e"
"Statistik der Sterbefälle","Germany",2003,14,"45-49","Male","203","e"
"Statistik der Sterbefälle","Germany",2003,14,"45-49","Female","117","e"
"Statistik der Sterbefälle","Germany",2003,14,"50-54","Male","318","e"
"Statistik der Sterbefälle","Germany",2003,14,"50-54","Female","178","e"
"Statistik der Sterbefälle","Germany",2003,14,"55-59","Male","372","e"
"Statistik der Sterbefälle","Germany",2003,14,"55-59","Female","215","e"
"Statistik der Sterbefälle","Germany",2003,14,"60-64","Male","758","e"
"Statistik der Sterbefälle","Germany",2003,14,"60-64","Female","375","e"
"Statistik der Sterbefälle","Germany",2003,14,"65-69","Male","993","e"
"Statistik der Sterbefälle","Germany",2003,14,"65-69","Female","493","e"
"Statistik der Sterbefälle","Germany",2003,14,"70-74","Male","1158","e"
"Statistik der Sterbefälle","Germany",2003,14,"70-74","Female","739","e"
"Statistik der Sterbefälle","Germany",2003,14,"75-79","Male","1188","e"
"Statistik der Sterbefälle","Germany",2003,14,"75-79","Female","1303","e"
"Statistik der Sterbefälle","Germany",2003,14,"80-84","Male","1139","e"
"Statistik der Sterbefälle","Germany",2003,14,"80-84","Female","1775","e"
"Statistik der Sterbefälle","Germany",2003,14,"85-89","Male","706","e"
"Statistik der Sterbefälle","Germany",2003,14,"85-89","Female","1605","e"
"Statistik der Sterbefälle","Germany",2003,14,"90-94","Male","473","e"
"Statistik der Sterbefälle","Germany",2003,14,"90-94","Female","1467","e"
"Statistik der Sterbefälle","Germany",2003,14,"95+","Male","108","e"
"Statistik der Sterbefälle","Germany",2003,14,"95+","Female","549","e"
"Statistik der Sterbefälle","Germany",2003,15,"0-29","Male","155","e"
"Statistik der Sterbefälle","Germany",2003,15,"0-29","Female","73","e"
"Statistik der Sterbefälle","Germany",2003,15,"30-34","Male","60","e"
"Statistik der Sterbefälle","Germany",2003,15,"30-34","Female","27","e"
"Statistik der Sterbefälle","Germany",2003,15,"35-39","Male","91","e"
"Statistik der Sterbefälle","Germany",2003,15,"35-39","Female","32","e"
"Statistik der Sterbefälle","Germany",2003,15,"40-44","Male","167","e"
"Statistik der Sterbefälle","Germany",2003,15,"40-44","Female","74","e"
"Statistik der Sterbefälle","Germany",2003,15,"45-49","Male","228","e"
"Statistik der Sterbefälle","Germany",2003,15,"45-49","Female","123","e"
"Statistik der Sterbefälle","Germany",2003,15,"50-54","Male","331","e"
"Statistik der Sterbefälle","Germany",2003,15,"50-54","Female","164","e"
"Statistik der Sterbefälle","Germany",2003,15,"55-59","Male","374","e"
"Statistik der Sterbefälle","Germany",2003,15,"55-59","Female","171","e"
"Statistik der Sterbefälle","Germany",2003,15,"60-64","Male","762","e"
"Statistik der Sterbefälle","Germany",2003,15,"60-64","Female","369","e"
"Statistik der Sterbefälle","Germany",2003,15,"65-69","Male","954","e"
"Statistik der Sterbefälle","Germany",2003,15,"65-69","Female","483","e"
"Statistik der Sterbefälle","Germany",2003,15,"70-74","Male","1104","e"
"Statistik der Sterbefälle","Germany",2003,15,"70-74","Female","740","e"
