year,age,population,quality
2001,87,232972,e
2001,88,202114,e
2001,89,171591,e
2001,90,550707,e
2002,0,719250,e
2002,1,739547,e
2002,2,773772,e
2002,3,777811,e
2002,4,794141,e
2002,5,819000,e
2002,6,803429,e
2002,7,777074,e
2002,8,786980,e
2002,9,819359,e
2002,10,840052,e
2002,11,873253,e
2002,12,961356,e
2002,13,951535,e
2002,14,979021,e
2002,15,959420,e
2002,16,945119,e
2002,17,916538,e
2002,18,917900,e
2002,19,934459,e
2002,20,969933,e
2002,21,976442,e
2002,22,992803,e
2002,23,952985,e
2002,24,948860,e
2002,25,946009,e
2002,26,936263,e
2002,27,916169,e
2002,28,933124,e
2002,29,947840,e
2002,30,1042534,e
2002,31,1154077,e
2002,32,1209961,e
2002,33,1300709,e
2002,34,1364686,e
2002,35,1400187,e
2002,36,1439945,e
2002,37,1450555,e
2002,38,1476463,e
2002,39,1468226,e
2002,40,1424198,e
2002,41,1403660,e
2002,42,1366909,e
2002,43,1324022,e
2002,44,1258214,e
2002,45,1234722,e
2002,46,1205707,e
2002,47,1172503,e
2002,48,1155464,e
2002,49,1121436,e
2002,50,1125457,e
2002,51,1104667,e
2002,52,1113405,e
2002,53,1076523,e
2002,54,991293,e
2002,55,934937,e
2002,56,821345,e
2002,57,729066,e
2002,58,968455,e
2002,59,985523,e
2002,60,959970,e
2002,61,1161033,e
2002,62,1224590,e
2002,63,1199711,e
2002,64,1118264,e
2002,65,1042034,e
2002,66,1010252,e
2002,67,970422,e
2002,68,896637,e
2002,69,717779,e
2002,70,709693,e
2002,71,715508,e
2002,72,745642,e
2002,73,712768,e
2002,74,696700,e
2002,75,634908,e
2002,76,610122,e
2002,77,587216,e
2002,78,528378,e
2002,79,496753,e
2002,80,492383,e
2002,81,483677,e
2002,82,442751,e
2002,83,309447,e
2002,84,184069,e
2002,85,159970,e
2002,86,158344,e
2002,87,181138,e
2002,88,201822,e
2002,89,171890,e
2002,90,578516,e
2003,0,706449,e
2003,1,722845,e
2003,2,741235,e
2003,3,775035,e
2003,4,778756,e
2003,5,794971,e
2003,6,819102,e
2003,7,803783,e
2003,8,778263,e
2003,9,788064,e
2003,10,820427,e
2003,11,841560,e
2003,12,874970,e
2003,13,963201,e
2003,14,953449,e
2003,15,981339,e
2003,16,962594,e
2003,17,948796,e
2003,18,921679,e
2003,19,927797,e
2003,20,945735,e
2003,21,980454,e
2003,22,987005,e
2003,23,1003813,e
2003,24,962464,e
2003,25,956147,e
2003,26,951628,e
2003,27,940907,e
2003,28,919707,e
2003,29,935548,e
2003,30,949498,e
2003,31,1043319,e
2003,32,1154414,e
2003,33,1209537,e
2003,34,1300032,e
2003,35,1363600,e
2003,36,1398377,e
2003,37,1438447,e
2003,38,1448475,e
2003,39,1474533,e
2003,40,1466359,e
2003,41,1422470,e
2003,42,1401548,e
2003,43,1364641,e
2003,44,1321898,e
2003,45,1256051,e
2003,46,1232037,e
2003,47,1202886,e
2003,48,1169433,e
2003,49,1152162,e
2003,50,1117790,e
2003,51,1121792,e
2003,52,1100655,e
2003,53,1108775,e
2003,54,1071635,e
2003,55,986273,e
2003,56,929925,e
2003,57,816200,e
2003,58,723816,e
2003,59,960921,e
2003,60,976976,e
2003,61,951271,e
2003,62,1150029,e
2003,63,1211778,e
2003,64,1186400,e
2003,65,1104720,e
2003,66,1028050,e
2003,67,995364,e
2003,68,954207,e
2003,69,880013,e
2003,70,703388,e
2003,71,693668,e
2003,72,697782,e
2003,73,725229,e
2003,74,691416,e
2003,75,673450,e
2003,76,613167,e
2003,77,586192,e
2003,78,561897,e
2003,79,503089,e
2003,80,469764,e
2003,81,462122,e
2003,82,450653,e
2003,83,408189,e
2003,84,282744,e
2003,85,166408,e
2003,86,142607,e
2003,87,139428,e
2003,88,156482,e
2003,89,171739,e
2003,90,598227,e
2004,0,704988,e
2004,1,710046,e
2004,2,724130,e
2004,3,741711,e
2004,4,775447,e
2004,5,778818,e
2004,6,794354,e
2004,7,818738,e
2004,8,804014,e
2004,9,779062,e
2004,10,788748,e
2004,11,821374,e
2004,12,842561,e
2004,13,876155,e
2004,14,964512,e
2004,15,955150,e
2004,16,983816,e
2004,17,965211,e
2004,18,953027,e
2004,19,930660,e
2004,20,938284,e
2004,21,955094,e
2004,22,989696,e
2004,23,995985,e
2004,24,1011157,e
2004,25,967850,e
2004,26,959583,e
2004,27,954065,e
2004,28,942967,e
2004,29,920783,e
2004,30,935934,e
2004,31,948735,e
2004,32,1042715,e
2004,33,1153319,e
2004,34,1208122,e
2004,35,1298062,e
2004,36,1361271,e
2004,37,1396023,e
2004,38,1436163,e
2004,39,1446132,e
2004,40,1471934,e
2004,41,1463934,e
2004,42,1419889,e
2004,43,1399349,e
2004,44,1361891,e
2004,45,1319398,e
2004,46,1253391,e
2004,47,1228841,e
2004,48,1199763,e
2004,49,1166096,e
2004,50,1148046,e
2004,51,1113855,e
2004,52,1117256,e
2004,53,1095815,e
2004,54,1103272,e
2004,55,1065894,e
2004,56,980565,e
2004,57,923799,e
2004,58,810138,e
2004,59,718034,e
2004,60,952224,e
2004,61,967657,e
2004,62,941731,e
2004,63,1138052,e
2004,64,1198112,e
2004,65,1171624,e
2004,66,1089904,e
2004,67,1013057,e
2004,68,979443,e
2004,69,937396,e
2004,70,862525,e
2004,71,688150,e
2004,72,677310,e
2004,73,679357,e
2004,74,704524,e
2004,75,669442,e
2004,76,649616,e
2004,77,589997,e
2004,78,562120,e
2004,79,536004,e
2004,80,477455,e
2004,81,443098,e
2004,82,432259,e
2004,83,418011,e
2004,84,374843,e
2004,85,257088,e
2004,86,149553,e
2004,87,126487,e
2004,88,121953,e
2004,89,134557,e
2004,90,621678,e
2005,0,685987,e
2005,1,708013,e
2005,2,710594,e
2005,3,724512,e
2005,4,741752,e
2005,5,775287,e
2005,6,777473,e
2005,7,793425,e
2005,8,818432,e
2005,9,803903,e
2005,10,779243,e
2005,11,789354,e
2005,12,821912,e
2005,13,843177,e
2005,14,876808,e
2005,15,965368,e
2005,16,956831,e
2005,17,985333,e
2005,18,968013,e
2005,19,960244,e
2005,20,939660,e
2005,21,947222,e
2005,22,964505,e
2005,23,999016,e
2005,24,1003405,e
2005,25,1016846,e
2005,26,971856,e
2005,27,962637,e
2005,28,956210,e
2005,29,944528,e
2005,30,922096,e
2005,31,936798,e
2005,32,949096,e
2005,33,1042546,e
2005,34,1152640,e
2005,35,1206890,e
2005,36,1296427,e
2005,37,1359348,e
2005,38,1394246,e
2005,39,1434231,e
2005,40,1444134,e
2005,41,1469543,e
2005,42,1461601,e
2005,43,1417597,e
2005,44,1397128,e
2005,45,1359439,e
2005,46,1316638,e
2005,47,1250646,e
2005,48,1225769,e
2005,49,1196513,e
2005,50,1162450,e
2005,51,1144190,e
2005,52,1109603,e
2005,53,1112580,e
2005,54,1090745,e
2005,55,1097581,e
2005,56,1059733,e
2005,57,974440,e
2005,58,917672,e
2005,59,804031,e
2005,60,711709,e
2005,61,943321,e
2005,62,957891,e
2005,63,931758,e
2005,64,1125345,e
2005,65,1183296,e
2005,66,1156267,e
2005,67,1074640,e
2005,68,997418,e
2005,69,962778,e
2005,70,919682,e
2005,71,844349,e
2005,72,673315,e
2005,73,660340,e
2005,74,662044,e
2005,75,682606,e
2005,76,646251,e
2005,77,624560,e
2005,78,565470,e
2005,79,536238,e
2005,80,508410,e
2005,81,450433,e
2005,82,414476,e
2005,83,400714,e
2005,84,383977,e
2005,85,340229,e
2005,86,230420,e
2005,87,132524,e
2005,88,110393,e
2005,89,104587,e
2005,90,604657,e
2006,0,673132,e
2006,1,688498,e
2006,2,708358,e
2006,3,710219,e
2006,4,723939,e
2006,5,741017,e
2006,6,773550,e
2006,7,776037,e
2006,8,792530,e
2006,9,817702,e
2006,10,803344,e
2006,11,779077,e
2006,12,789245,e
2006,13,821674,e
2006,14,843044,e
2006,15,877120,e
2006,16,966170,e
2006,17,957494,e
2006,18,987424,e
2006,19,974156,e
2006,20,968396,e
2006,21,947758,e
2006,22,954957,e
2006,23,972035,e
2006,24,1005124,e
2006,25,1007075,e
2006,26,1019020,e
2006,27,973311,e
2006,28,963339,e
2006,29,956383,e
2006,30,944179,e
2006,31,921312,e
2006,32,935869,e
2006,33,947988,e
2006,34,1041238,e
2006,35,1150624,e
2006,36,1204737,e
2006,37,1293844,e
2006,38,1356761,e
2006,39,1391454,e
2006,40,1431227,e
2006,41,1441134,e
2006,42,1466390,e
2006,43,1458750,e
2006,44,1414346,e
2006,45,1393843,e
2006,46,1355968,e
2006,47,1313381,e
2006,48,1247058,e
2006,49,1221756,e
2006,50,1192283,e
2006,51,1158089,e
2006,52,1139359,e
2006,53,1104521,e
2006,54,1106983,e
2006,55,1084932,e
2006,56,1091159,e
2006,57,1053028,e
2006,58,967607,e
2006,59,910723,e
2006,60,796752,e
2006,61,704410,e
2006,62,933915,e
2006,63,947634,e
2006,64,921235,e
2006,65,1111704,e
2006,66,1167798,e
2006,67,1140239,e
2006,68,1058557,e
2006,69,980878,e
2006,70,945228,e
2006,71,901242,e
2006,72,826954,e
2006,73,656431,e
2006,74,642140,e
2006,75,641829,e
2006,76,659706,e
2006,77,622986,e
2006,78,598848,e
2006,79,539907,e
2006,80,508975,e
2006,81,480049,e
2006,82,422278,e
2006,83,385189,e
2006,84,368690,e
2006,85,349719,e
2006,86,305716,e
2006,87,204804,e
2006,88,116003,e
2006,89,95160,e
2006,90,568259,e
2007,0,685495,e
2007,1,676142,e
2007,2,689181,e
2007,3,708342,e
2007,4,709884,e
2007,5,723274,e
2007,6,739386,e
2007,7,772569,e
2007,8,775254,e
2007,9,791797,e
2007,10,817125,e
2007,11,803094,e
2007,12,779122,e
2007,13,789421,e
2007,14,821610,e
2007,15,843241,e
2007,16,878112,e
2007,17,967034,e
2007,18,960142,e
2007,19,994435,e
2007,20,982931,e
2007,21,976593,e
2007,22,955596,e
2007,23,962301,e
2007,24,978079,e
2007,25,1009292,e
2007,26,1009423,e
2007,27,1020405,e
2007,28,974244,e
2007,29,963366,e
2007,30,955863,e
2007,31,943930,e
2007,32,920945,e
2007,33,935674,e
2007,34,947002,e
2007,35,1040387,e
2007,36,1149399,e
2007,37,1203073,e
2007,38,1292288,e
2007,39,1354786,e
2007,40,1389707,e
2007,41,1428871,e
2007,42,1438489,e
2007,43,1463605,e
2007,44,1455878,e
2007,45,1411275,e
2007,46,1390559,e
2007,47,1352558,e
2007,48,1309865,e
2007,49,1243286,e
2007,50,1217606,e
2007,51,1188090,e
2007,52,1153425,e
2007,53,1134359,e
2007,54,1099322,e
2007,55,1101293,e
2007,56,1078735,e
2007,57,1084372,e
2007,58,1046225,e
2007,59,960408,e
2007,60,903118,e
2007,61,789258,e
2007,62,697389,e
2007,63,924066,e
2007,64,937097,e
2007,65,909706,e
2007,66,1097459,e
2007,67,1151644,e
2007,68,1123665,e
2007,69,1041550,e
2007,70,963729,e
