"statistics","state","year","day","date","deaths","quality"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.01.",2000-01-01,100,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.01.",2000-01-02,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.01.",2000-01-03,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.01.",2000-01-04,106,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.01.",2000-01-05,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.01.",2000-01-06,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.01.",2000-01-07,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.01.",2000-01-08,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.01.",2000-01-09,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.01.",2000-01-10,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.01.",2000-01-11,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.01.",2000-01-12,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.01.",2000-01-13,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.01.",2000-01-14,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.01.",2000-01-15,100,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.01.",2000-01-16,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.01.",2000-01-17,103,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.01.",2000-01-18,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.01.",2000-01-19,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.01.",2000-01-20,95,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.01.",2000-01-21,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.01.",2000-01-22,100,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.01.",2000-01-23,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.01.",2000-01-24,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.01.",2000-01-25,95,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.01.",2000-01-26,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.01.",2000-01-27,107,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.01.",2000-01-28,101,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.01.",2000-01-29,104,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.01.",2000-01-30,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"31.01.",2000-01-31,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.02.",2000-02-01,99,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.02.",2000-02-02,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.02.",2000-02-03,95,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.02.",2000-02-04,102,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.02.",2000-02-05,104,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.02.",2000-02-06,105,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.02.",2000-02-07,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.02.",2000-02-08,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.02.",2000-02-09,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.02.",2000-02-10,111,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.02.",2000-02-11,111,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.02.",2000-02-12,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.02.",2000-02-13,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.02.",2000-02-14,95,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.02.",2000-02-15,103,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.02.",2000-02-16,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.02.",2000-02-17,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.02.",2000-02-18,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.02.",2000-02-19,103,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.02.",2000-02-20,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.02.",2000-02-21,110,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.02.",2000-02-22,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.02.",2000-02-23,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.02.",2000-02-24,101,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.02.",2000-02-25,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.02.",2000-02-26,70,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.02.",2000-02-27,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.02.",2000-02-28,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.02.",2000-02-29,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.03.",2000-03-01,84,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.03.",2000-03-02,101,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.03.",2000-03-03,90,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.03.",2000-03-04,96,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.03.",2000-03-05,97,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.03.",2000-03-06,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.03.",2000-03-07,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.03.",2000-03-08,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.03.",2000-03-09,99,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.03.",2000-03-10,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.03.",2000-03-11,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.03.",2000-03-12,65,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.03.",2000-03-13,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.03.",2000-03-14,107,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.03.",2000-03-15,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.03.",2000-03-16,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.03.",2000-03-17,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.03.",2000-03-18,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.03.",2000-03-19,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.03.",2000-03-20,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.03.",2000-03-21,84,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.03.",2000-03-22,107,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.03.",2000-03-23,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.03.",2000-03-24,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.03.",2000-03-25,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.03.",2000-03-26,84,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.03.",2000-03-27,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.03.",2000-03-28,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.03.",2000-03-29,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.03.",2000-03-30,70,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"31.03.",2000-03-31,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.04.",2000-04-01,109,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.04.",2000-04-02,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.04.",2000-04-03,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.04.",2000-04-04,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.04.",2000-04-05,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.04.",2000-04-06,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.04.",2000-04-07,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.04.",2000-04-08,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.04.",2000-04-09,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.04.",2000-04-10,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.04.",2000-04-11,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.04.",2000-04-12,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.04.",2000-04-13,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.04.",2000-04-14,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.04.",2000-04-15,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.04.",2000-04-16,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.04.",2000-04-17,62,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.04.",2000-04-18,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.04.",2000-04-19,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.04.",2000-04-20,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.04.",2000-04-21,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.04.",2000-04-22,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.04.",2000-04-23,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.04.",2000-04-24,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.04.",2000-04-25,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.04.",2000-04-26,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.04.",2000-04-27,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.04.",2000-04-28,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.04.",2000-04-29,84,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.04.",2000-04-30,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.05.",2000-05-01,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.05.",2000-05-02,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.05.",2000-05-03,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.05.",2000-05-04,63,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.05.",2000-05-05,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.05.",2000-05-06,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.05.",2000-05-07,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.05.",2000-05-08,67,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.05.",2000-05-09,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.05.",2000-05-10,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.05.",2000-05-11,60,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.05.",2000-05-12,69,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.05.",2000-05-13,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.05.",2000-05-14,70,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.05.",2000-05-15,102,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.05.",2000-05-16,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.05.",2000-05-17,104,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.05.",2000-05-18,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.05.",2000-05-19,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.05.",2000-05-20,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.05.",2000-05-21,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.05.",2000-05-22,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.05.",2000-05-23,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.05.",2000-05-24,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.05.",2000-05-25,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.05.",2000-05-26,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.05.",2000-05-27,67,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.05.",2000-05-28,55,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.05.",2000-05-29,62,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.05.",2000-05-30,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"31.05.",2000-05-31,69,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.06.",2000-06-01,97,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.06.",2000-06-02,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.06.",2000-06-03,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.06.",2000-06-04,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.06.",2000-06-05,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.06.",2000-06-06,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.06.",2000-06-07,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.06.",2000-06-08,68,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.06.",2000-06-09,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.06.",2000-06-10,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.06.",2000-06-11,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.06.",2000-06-12,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.06.",2000-06-13,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.06.",2000-06-14,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.06.",2000-06-15,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.06.",2000-06-16,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.06.",2000-06-17,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.06.",2000-06-18,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.06.",2000-06-19,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.06.",2000-06-20,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.06.",2000-06-21,104,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.06.",2000-06-22,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.06.",2000-06-23,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.06.",2000-06-24,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.06.",2000-06-25,68,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.06.",2000-06-26,69,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.06.",2000-06-27,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.06.",2000-06-28,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.06.",2000-06-29,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.06.",2000-06-30,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.07.",2000-07-01,58,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.07.",2000-07-02,62,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.07.",2000-07-03,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.07.",2000-07-04,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.07.",2000-07-05,63,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.07.",2000-07-06,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.07.",2000-07-07,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.07.",2000-07-08,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.07.",2000-07-09,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.07.",2000-07-10,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.07.",2000-07-11,65,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.07.",2000-07-12,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.07.",2000-07-13,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.07.",2000-07-14,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.07.",2000-07-15,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.07.",2000-07-16,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.07.",2000-07-17,61,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.07.",2000-07-18,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.07.",2000-07-19,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.07.",2000-07-20,60,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.07.",2000-07-21,63,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.07.",2000-07-22,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.07.",2000-07-23,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.07.",2000-07-24,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.07.",2000-07-25,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.07.",2000-07-26,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.07.",2000-07-27,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.07.",2000-07-28,65,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.07.",2000-07-29,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.07.",2000-07-30,59,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"31.07.",2000-07-31,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.08.",2000-08-01,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.08.",2000-08-02,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.08.",2000-08-03,90,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.08.",2000-08-04,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.08.",2000-08-05,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.08.",2000-08-06,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.08.",2000-08-07,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.08.",2000-08-08,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.08.",2000-08-09,69,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.08.",2000-08-10,68,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.08.",2000-08-11,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.08.",2000-08-12,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.08.",2000-08-13,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.08.",2000-08-14,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.08.",2000-08-15,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.08.",2000-08-16,65,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.08.",2000-08-17,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.08.",2000-08-18,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.08.",2000-08-19,67,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.08.",2000-08-20,68,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.08.",2000-08-21,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.08.",2000-08-22,84,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.08.",2000-08-23,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.08.",2000-08-24,57,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.08.",2000-08-25,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.08.",2000-08-26,70,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.08.",2000-08-27,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.08.",2000-08-28,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.08.",2000-08-29,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.08.",2000-08-30,59,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"31.08.",2000-08-31,90,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.09.",2000-09-01,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.09.",2000-09-02,64,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.09.",2000-09-03,57,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.09.",2000-09-04,63,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.09.",2000-09-05,67,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.09.",2000-09-06,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.09.",2000-09-07,77,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.09.",2000-09-08,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.09.",2000-09-09,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.09.",2000-09-10,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.09.",2000-09-11,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.09.",2000-09-12,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.09.",2000-09-13,82,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.09.",2000-09-14,66,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.09.",2000-09-15,69,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.09.",2000-09-16,57,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.09.",2000-09-17,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.09.",2000-09-18,71,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.09.",2000-09-19,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.09.",2000-09-20,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.09.",2000-09-21,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.09.",2000-09-22,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.09.",2000-09-23,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"24.09.",2000-09-24,64,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"25.09.",2000-09-25,90,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"26.09.",2000-09-26,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"27.09.",2000-09-27,86,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"28.09.",2000-09-28,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"29.09.",2000-09-29,75,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"30.09.",2000-09-30,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.10.",2000-10-01,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.10.",2000-10-02,90,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.10.",2000-10-03,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.10.",2000-10-04,83,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.10.",2000-10-05,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.10.",2000-10-06,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.10.",2000-10-07,67,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.10.",2000-10-08,73,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.10.",2000-10-09,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.10.",2000-10-10,79,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.10.",2000-10-11,81,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.10.",2000-10-12,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.10.",2000-10-13,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.10.",2000-10-14,94,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.10.",2000-10-15,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.10.",2000-10-16,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.10.",2000-10-17,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.10.",2000-10-18,74,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.10.",2000-10-19,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.10.",2000-10-20,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.10.",2000-10-21,72,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"22.10.",2000-10-22,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"23.10.",2000-10-23,71,"e"
